start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2017-12-25T10:00:00-08:00,2018-01-06T18:00:00-08:00,Veronica,Veronica,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NnFmZW45bGpsY3V2OTl0bzBtZjhlOGd0djIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2017-12-25T10:00:00-08:00,2018-01-06T18:00:00-08:00,Veronica,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NnFmZW45bGpsY3V2OTl0bzBtZjhlOGd0djIgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2017-12-31T21:00:00-08:00,2018-01-01T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDFUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-01T09:00:00-08:00,2018-01-01T21:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDFUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-01T21:00:00-08:00,2018-01-02T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDJUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-02T09:00:00-08:00,2018-01-02T21:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDJUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-02T21:00:00-08:00,2018-01-03T07:30:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDNUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-03T19:00:00-08:00,2018-01-04T07:30:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDRUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-04T19:00:00-08:00,2018-01-05T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDVUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-05T09:00:00-08:00,2018-01-05T21:00:00-08:00,H2O and HVAC recovered  Begin recovering timing system and control system,H2O and HVAC recovered  Begin recovering timing system and control system,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDVUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-05T21:00:00-08:00,2018-01-06T08:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDZUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-06T08:00:00-08:00,2018-01-06T17:30:00-08:00,"Verify Injector Lasers still on,   Control system and timing system operational","Verify Injector Lasers still on,   Control system and timing system operational",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MWtnNHZzZDBzcDMxMjdobGtyZ3NudmJoOTggbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-06T17:30:00-08:00,2018-01-07T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDdUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-07T09:00:00-08:00,2018-01-07T21:00:00-08:00,"Ops search LCLS Injector, Linac East, and BTH","Ops search LCLS Injector, Linac East, and BTH",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDdUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-07T21:00:00-08:00,2018-01-08T00:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MGIyYWtkNHQxbm1xcmYzczh0cGtxcms3M3QgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-08T01:30:00-08:00,2018-01-08T09:00:00-08:00,"RF and Magnet Turn on, Phase RF stations available","RF and Magnet Turn on, Phase RF stations available",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDhUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-08T09:00:00-08:00,2018-01-08T20:00:00-08:00,SASE Recovery,SASE Recovery,,,NC-MD-FEEH,,sase,sase_explicit,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDlUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-08T20:00:00-08:00,2018-01-09T00:30:00-08:00,Phase RF stations,Phase RF stations,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDlUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-09T00:30:00-08:00,2018-01-09T06:00:00-08:00,"FEL Tuning, LR81 Config","FEL Tuning, LR81 Config",,6775 eV,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTI1ZHYyMDU2MDU2MDJucWZyOW44bW9rNDYgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-09T06:00:00-08:00,2018-01-09T08:00:00-08:00,Setup 640 eV,Setup 640 eV,,,NC-MD-FEEH,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NGl0ajFsbXZiZzhjcGdqZXN0YzlocjNhbGwgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-09T08:00:00-08:00,2018-01-09T11:00:00-08:00,Laser work,Laser work,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=N2Y2cXI4ZWlnY2MwcGZyNWZ1anJycWY5cnYgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-09T11:00:00-08:00,2018-01-09T20:00:00-08:00,"Two Bunch MD, prepare for X304,, ~ 640-650 eV","Two Bunch MD, prepare for X304,, ~ 640-650 eV",,,NC-MD-FEEH,,two_bunch,two_bunch;machine_dev,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDhUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-09T20:00:00-08:00,2018-01-10T00:00:00-08:00,"Restore 6775 eV, Energy Ramp range test","Restore 6775 eV, Energy Ramp range test",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMTBUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
