start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2017-12-25T10:00:00-08:00,2018-01-06T18:00:00-08:00,Veronica,Veronica,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NnFmZW45bGpsY3V2OTl0bzBtZjhlOGd0djIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2017-12-25T10:00:00-08:00,2018-01-06T18:00:00-08:00,Veronica,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NnFmZW45bGpsY3V2OTl0bzBtZjhlOGd0djIgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2018-01-05T09:00:00-08:00,2018-01-05T21:00:00-08:00,H2O and HVAC recovered  Begin recovering timing system and control system,H2O and HVAC recovered  Begin recovering timing system and control system,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDVUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-06T08:00:00-08:00,2018-01-06T17:30:00-08:00,"Verify Injector Lasers still on,   Control system and timing system operational","Verify Injector Lasers still on,   Control system and timing system operational",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MWtnNHZzZDBzcDMxMjdobGtyZ3NudmJoOTggbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-07T09:00:00-08:00,2018-01-07T21:00:00-08:00,"Ops search LCLS Injector, Linac East, and BTH","Ops search LCLS Injector, Linac East, and BTH",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDdUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-08T01:30:00-08:00,2018-01-08T09:00:00-08:00,"RF and Magnet Turn on, Phase RF stations available","RF and Magnet Turn on, Phase RF stations available",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDhUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-08T09:00:00-08:00,2018-01-08T20:00:00-08:00,SASE Recovery,SASE Recovery,,,NC-MD-FEEH,,sase,sase_explicit,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDlUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-08T20:00:00-08:00,2018-01-09T00:30:00-08:00,Phase RF stations,Phase RF stations,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDlUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-09T00:30:00-08:00,2018-01-09T06:00:00-08:00,"FEL Tuning, LR81 Config","FEL Tuning, LR81 Config",,6775 eV,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTI1ZHYyMDU2MDU2MDJucWZyOW44bW9rNDYgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-09T08:00:00-08:00,2018-01-09T11:00:00-08:00,Laser work,Laser work,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=N2Y2cXI4ZWlnY2MwcGZyNWZ1anJycWY5cnYgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-09T20:00:00-08:00,2018-01-10T00:00:00-08:00,"Restore 6775 eV, Energy Ramp range test","Restore 6775 eV, Energy Ramp range test",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMTBUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-10T00:00:00-08:00,2018-01-10T01:30:00-08:00,"500 eV, change to 125 pC cut to 80 pC for X282","500 eV, change to 125 pC cut to 80 pC for X282",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NWpiM2hsN3VkbWRwdnFmbmQyODZxN2h2anQgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-11T05:00:00-08:00,2018-01-11T07:00:00-08:00,Instrument checkout for LR81,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=Nzd1dXZqNm8zNmpyMWkyN3Z1bGZnZWF2cXIgNnNyNDE0bmVoYnVnbjJrNjdlZnE3MW1wcGdAZw
2018-01-12T09:00:00-08:00,2018-01-12T21:00:00-08:00,LR81 Yano,Deliver to XPP,,9.5 keV,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NzBuMzJ2b2FtcnJ0Zm5rNzRldGdsc2k1c2FfMjAxODAxMTJUMTcwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-01-13T09:00:00-08:00,2018-01-13T21:00:00-08:00,LR81 Yano,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NzBuMzJ2b2FtcnJ0Zm5rNzRldGdsc2k1c2FfMjAxODAxMTNUMTcwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-01-14T09:00:00-08:00,2018-01-14T21:00:00-08:00,LR81 Yano,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NzBuMzJ2b2FtcnJ0Zm5rNzRldGdsc2k1c2FfMjAxODAxMTRUMTcwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-01-15T09:00:00-08:00,2018-01-15T21:00:00-08:00,LR81 Yano,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NzBuMzJ2b2FtcnJ0Zm5rNzRldGdsc2k1c2FfMjAxODAxMTVUMTcwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-01-16T09:00:00-08:00,2018-01-16T11:00:00-08:00,Oscillation Data,Oscillation Data,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTJjYmpqcDJwZXFzcDJuMzVxNGoxbmtobWwgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-16T11:00:00-08:00,2018-01-16T13:00:00-08:00,Ocelot tests Joe Duris,Ocelot tests Joe Duris,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NjZkZWpiMXNrZ2lucWRibXA4ZWk4ZG0wcWggbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-16T21:00:00-08:00,2018-01-17T05:00:00-08:00,"Slice bunch, 550 eV","Slice bunch, 550 eV",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MThtcXM5ZHVyN2E4bTRoOGMyY2k1cmlvZ2EgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-17T05:00:00-08:00,2018-01-17T06:00:00-08:00,Take Oscillation data,Take Oscillation data,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=M2MyZG0wYWphOWFxcHBmcmw4NWI2czZlcjUgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-17T06:00:00-08:00,2018-01-17T09:00:00-08:00,Check both laser heaters 3D overlap,Check both laser heaters 3D overlap,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MWlvY3M4YzVhamozMWhpYW1hMjE2YXJyMXMgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-19T08:00:00-08:00,2018-01-19T09:00:00-08:00,Set 8.0 keV,Set 8.0 keV,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTIyazNxODYyZmpycHVzb3NrMGcxOTFybnAgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-19T09:00:00-08:00,2018-01-19T11:00:00-08:00,"Instrument checkout for LR04, 8.0 keV",Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NjludHBjbWptYmZrYmozMDZxNmZvbXY2bXMgNnNyNDE0bmVoYnVnbjJrNjdlZnE3MW1wcGdAZw
