start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-12T09:00:00-08:00,2018-01-12T21:00:00-08:00,LR81 Yano,Deliver to XPP,,9.5 keV,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NzBuMzJ2b2FtcnJ0Zm5rNzRldGdsc2k1c2FfMjAxODAxMTJUMTcwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-02-04T09:00:00-08:00,2018-02-04T21:00:00-08:00,LR23 van Thor,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=MGxqMzY1anYwdDIxbm9iNHVia2VkcmFpMXVfMjAxODAyMDRUMTcwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-02-05T11:00:00-08:00,2018-02-05T23:00:00-08:00,LR23 van Thor,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=MGxqMzY1anYwdDIxbm9iNHVia2VkcmFpMXVfMjAxODAyMDVUMTcwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-02-08T21:00:00-08:00,2018-02-09T09:00:00-08:00,X295 Glownia,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NWc0YzJnOWQxcmFnNHFhbzFmYWVybXZnajZfMjAxODAyMDlUMDUwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-02-15T02:00:00-08:00,2018-02-15T09:00:00-08:00,Beamline reconfiguration checkout and short pulse time-tool optimization,Deliver to MEC,,"8 keV, POC: Galtier",NC-MEC,,sase,,False,https://www.google.com/calendar/event?eid=M2F1ZXFwN3Jnc2lsam5kdGNqcmRyMXFkMHIgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2018-04-02T21:00:00-07:00,2018-04-02T22:00:00-07:00,Fix laser timing jumps,Fix laser timing jumps,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NTQ4ZjVwc3NyOGdzdGpzYnRkajIwM3NtbjkgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-04-06T21:00:00-07:00,2018-04-07T09:00:00-07:00,LS04 Lee,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NmU3NG0wcjUzajVuY3E4cWw4bWkxYzBoczFfMjAxODA0MDdUMDQwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-04-07T21:00:00-07:00,2018-04-08T09:00:00-07:00,LS04 Lee,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NmU3NG0wcjUzajVuY3E4cWw4bWkxYzBoczFfMjAxODA0MDhUMDQwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-04-14T09:00:00-07:00,2018-04-14T21:00:00-07:00,LS24,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=N3I5YWdtNjBhMGV2dGpzOTA3Y25hbHU5ZGlfMjAxODA0MTRUMTYwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-04-18T09:00:00-07:00,2018-04-18T21:00:00-07:00,LS24,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=N3I5YWdtNjBhMGV2dGpzOTA3Y25hbHU5ZGlfMjAxODA0MTVUMTYwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-04-28T09:00:00-07:00,2018-04-28T21:00:00-07:00,LR84 Schlichting,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NWg3bWJlc3BzN2VqOWVsbnY1bTc5MjJqa2VfMjAxODA0MjhUMTYwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-05-22T23:00:00-07:00,2018-05-23T13:00:00-07:00,LR74,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NnZsaXNoYnRqM2pnanMyZ2xnYm1laTZrdHJfMjAxODA1MjBUMTYwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
