start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-02-21T18:00:00-08:00,2018-02-21T20:00:00-08:00,LQ91 Setup: 7.5 keV HXRSS,LQ91 Setup: 7.5 keV HXRSS,,,NC-MD-FEEH,,self_seed,self_seed;setup_tune,False,https://www.google.com/calendar/event?eid=Mm9lanFqOW4wbWk0ZzJhbGlqN2VhcGMxZnMgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-02-24T21:00:00-08:00,2018-02-25T09:00:00-08:00,LQ91 Beg Perhaps Seeded,Deliver to MEC,,,NC-MEC,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=NDhndDNzYjY5cGl1dm9oam1oOGczZjdxcDJfMjAxODAyMjVUMDUwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
2018-05-20T21:00:00-07:00,2018-05-21T09:00:00-07:00,LS66 Galtier,Deliver to MEC,,possible HXRSS + vernier scans around 8 keV,NC-MEC,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=MmViMjAyajljbm9odDcwNDgycTI2OGs0YmJfMjAxODA1MjFUMDQwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
2018-05-24T01:00:00-07:00,2018-05-24T05:00:00-07:00,HXRSS Checkout with energy scanning: 6.7-7.1 keV in 10 eV steps; 6.3-6.7 keV in 20-30 eV steps,HXRSS Checkout with energy scanning: 6.7-7.1 keV in 10 eV steps; 6.3-6.7 keV in 20-30 eV steps,,,NC-MD-FEEH,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=MHR2YXJpb3VsNzhxcnB0Y2U5bWJ1amczcWcgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-06-01T09:00:00-07:00,2018-06-01T21:00:00-07:00,LR21 Rosmej,Deliver to MEC,,HXRSS with 6.3 - 7.6 keV energy scan in 5 eV steps,NC-MEC,,self_seed,self_seed;setup_tune,False,https://www.google.com/calendar/event?eid=MXZzNWtpazg5NzF1YW40MzRhb3U4NmdjbzFfMjAxODA2MDFUMTYwMDAwWiBua2E1cjhmZm1yaWs1amNkaWg4bnU3M3Ixa0Bn
2018-08-24T21:00:00-07:00,2018-08-25T00:30:00-07:00,Check out HXRSS,Check out HXRSS,,,NC-MD-FEEH,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=NDliNGpnanBlMzJxMm0yMTVhaTJjb25kNXIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-29T22:00:00-07:00,2018-08-30T00:30:00-07:00,"Check out HXRSS, 4.5 keV","Check out HXRSS, 4.5 keV",,,NC-MD-FEEH,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=MDVyc3JuZHVyajhnczlnbjFxaTVvOHRoZzQgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-30T21:00:00-07:00,2018-08-31T03:00:00-07:00,"X-ray Crystal interaction for high repetition rate FELs operation. Two bunch HXRSS, 4.5 keV","X-ray Crystal interaction for high repetition rate FELs operation. Two bunch HXRSS, 4.5 keV",,,NC-MD-FEEH,,self_seed,self_seed;two_bunch,True,https://www.google.com/calendar/event?eid=MWQ3ZDJsYzFoZ2Q1Y2VmMmU0c2h2YTRxbm8gbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2021-05-03T13:30:00-07:00,2021-05-03T18:30:00-07:00,MD-CUH: HXRSS Crystal Calib.,MD-CUH: HXRSS Crystal Calib.,"10 keV, 10.789 GeV",,NC-XRT,,self_seed,self_seed;machine_dev,False,https://www.google.com/calendar/event?eid=N3ZyYTc1ZTF0ZWo3azVlcXFkaTc3b2RnZDAgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
2021-05-05T07:00:00-07:00,2021-05-05T18:00:00-07:00,"MD-CUH: HXRSS Crystal Calib., 10.428 keV","MD-CUH: HXRSS Crystal Calib., 10.428 keV","10.7 GeV, +XRT HXR spectro.",,NC-XRT,,self_seed,self_seed;machine_dev,False,https://www.google.com/calendar/event?eid=NjFjc2gxZ2cwMjI1MmFlMjJ1dWZodTg4Zmsgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
2021-05-07T16:30:00-07:00,2021-05-07T18:00:00-07:00,MEC Checkout,Deliver to MEC,,10.896 eV HXRSS,NC-MEC,,self_seed,self_seed,False,https://www.google.com/calendar/event?eid=NmNmcDMzdnRibHNhaDI2cms4bHM5OXVkYzUgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
