start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-09T11:00:00-08:00,2018-01-09T20:00:00-08:00,"Two Bunch MD, prepare for X304,, ~ 640-650 eV","Two Bunch MD, prepare for X304,, ~ 640-650 eV",,,NC-MD-FEEH,,two_bunch,two_bunch;machine_dev,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDhUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-02-14T17:00:00-08:00,2018-02-14T19:30:00-08:00,"Tune Injector after lasers work. Two bunch injector setup.  Injector lasers overlap, 3D heaters overlap","Tune Injector after lasers work. Two bunch injector setup.  Injector lasers overlap, 3D heaters overlap",,,NC-MD-FEEH,,two_bunch,two_bunch;setup_tune,False,https://www.google.com/calendar/event?eid=M205cGY5bjU2Nm1lcTAwcGw1bWNja2c0bG8gbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-02-14T21:30:00-08:00,2018-02-15T02:00:00-08:00,"Tune 2 bunch, 2-75 ns 7.100 keV and 7.140","Tune 2 bunch, 2-75 ns 7.100 keV and 7.140",,,NC-MD-FEEH,,two_bunch,two_bunch;setup_tune,False,https://www.google.com/calendar/event?eid=NDdmcTc3bmVxMXJ0MnAwaHIyZzNuMWZtYnVfMjAxODAyMTVUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-08-23T13:30:00-07:00,2018-08-23T16:00:00-07:00,"Two bunch studies, injector characterization","Two bunch studies, injector characterization",,,NC-MD-FEEH,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=N2VoNDc5aHVib3UyNnF0ZnVqOXE4bHBsODQgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-24T19:00:00-07:00,2018-08-24T21:00:00-07:00,"Two bunch studies, injector characterization","Two bunch studies, injector characterization",,,NC-MD-FEEH,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=M3RhZmJxdThnanJ2anMwc3ZtY2NjaWg3ODggbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2021-03-21T09:00:00-07:00,2021-03-21T21:00:00-07:00,LV20 Bergmann,Deliver to CXI,"10.235 GeV, two bunches",9 keV,NC-CXI,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MWhiZWdwbWtxbmg3Z2dmNGFnbzZjZ3BlZm8gbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-03-21T21:00:00-07:00,2021-03-22T09:00:00-07:00,LV20 Bergmann,Deliver to CXI,"10.235 GeV, two bunches",9 keV,NC-CXI,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MzA1dmltcjBmdnZqamNpMDd1bTRlbmY0cjQgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-06-22T12:00:00-07:00,2021-06-22T21:00:00-07:00,Two-Bunch diagnostics commissioning,Deliver to XCS,,same param's as XPP,NC-XCS,,two_bunch,two_bunch;setup_tune,False,https://www.google.com/calendar/event?eid=NW05NzdkaWRxNDlwN3ZwMjA3OWlsbGIwb24gbGpqcjNkZTE1aWFuamg0MmFobHF2Y3Y1czRAZw
2021-06-25T21:00:00-07:00,2021-06-26T09:00:00-07:00,LW62 Eggert,Deliver to MEC,"10, 30, 60 ns, 10.788 GeV",10 & 10.08 keV Two Bunch,NC-MEC,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MTJwaGlmbzZyOGlubGs0ZGlramV2cjA3aGogbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2021-06-26T09:00:00-07:00,2021-06-26T21:00:00-07:00,LW68 Gopalan,Deliver to XCS,"~10 ns sep., then 1-100 ns, 10.788 GeV",10 keV Two Bunch,NC-XCS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NnViaDcwNWo5bmJhZ2F2amk4NDY1M2hqbXEgbGpqcjNkZTE1aWFuamg0MmFobHF2Y3Y1czRAZw
2021-06-26T21:00:00-07:00,2021-06-27T09:00:00-07:00,LW68 Gopalan,Deliver to XCS,"~1-100 ns, 10.788 GeV",10 keV Two Bunch,NC-XCS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MGFxajQ0dHZqOHNyb2E4Y3QxMDBxcWNuYWogbGpqcjNkZTE1aWFuamg0MmFobHF2Y3Y1czRAZw
2021-06-27T09:00:00-07:00,2021-06-27T21:00:00-07:00,LW62 Eggert,Deliver to MEC,"10, 30, 60 ns, 10.788 GeV",10 & 10.08 keV Two Bunch,NC-MEC,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NjY0NXVmYW9ncTNlZWhsa2hyMXZoNjEwNGEgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2021-06-27T21:00:00-07:00,2021-06-28T09:00:00-07:00,LW62 Eggert,Deliver to MEC,"10, 30, 60 ns, 10.788 GeV",10 & 10.08 keV Two Bunch,NC-MEC,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NHNzNW9qOWhuanZnbmYwYzlpMWM5cTE1ZGQgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2021-06-29T10:30:00-07:00,2021-06-29T22:30:00-07:00,LW68 Gopalan,Deliver to XCS,"~1-100 ns, 10.788 GeV",10 keV Two Bunch,NC-XCS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NDRvNmcwaWFhaGUxZTA2MHRpbXN2c2NlamkgbGpqcjNkZTE1aWFuamg0MmFobHF2Y3Y1czRAZw
