start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-02-16T09:00:00-08:00,2018-02-16T21:00:00-08:00,"LR76, Two bunches, Two Colors, ~ 7.1 keV, 2 – 200 ns",Deliver to CXI,,,NC-CXI,,two_color,two_color;two_bunch,True,https://www.google.com/calendar/event?eid=M2lhdDg4cTE5ZHBuMzJ2cG4yaWM2cjZqMGwgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2018-09-20T20:00:00-07:00,2018-09-21T05:30:00-07:00,"LU58 setup: Two color twin bunch SASE,  9.95 keV +/- 50 eV","LU58 setup: Two color twin bunch SASE,  9.95 keV +/- 50 eV",,,NC-MD-FEEH,,two_color,two_color;setup_tune;sase_explicit,False,https://www.google.com/calendar/event?eid=NGNlNTN0NnU5NjltOWlscGdiNzMydmFhaDAgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-10-08T12:00:00-07:00,2018-10-08T17:00:00-07:00,"Setup for LU05: 6.6 keV, then 6.6+6.49 keV two color split undulator, 20 fs pulses","Setup for LU05: 6.6 keV, then 6.6+6.49 keV two color split undulator, 20 fs pulses",,,NC-MD-FEEH,,two_color,two_color;setup_tune,False,https://www.google.com/calendar/event?eid=MjdsbzczYXN1b2VsYjFsa3ZuZW9uZXM0Z2UgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-10-09T09:00:00-07:00,2018-10-09T21:00:00-07:00,LU05 Bergmann,Deliver to CXI,,6.6 keV then two color SASE 6.49-6.6 keV,NC-CXI,,two_color,two_color;sase_explicit,False,https://www.google.com/calendar/event?eid=MGExNmpkbW9sbmNrc29sY2Q0OGxwcTRrcW9fMjAxODEwMDlUMTYwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2021-05-13T19:30:00-07:00,2021-05-13T21:00:00-07:00,MD-CUH: CXI 2-Color Setup,Deliver to CXI,"9.026 GeV, +XRT Spectro.",,NC-CXI,,two_color,two_color;machine_dev;setup_tune,False,https://www.google.com/calendar/event?eid=NWdyMTlmcnQ0OXFudGxubG00M3ZpZ3Z2amYgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-05-14T21:00:00-07:00,2021-05-15T09:00:00-07:00,X461 Aquila,Deliver to CXI,"9.026 GeV, split-und., 0 delay",7.0 & 7.2-7.3 keV Two-Color,NC-CXI,,two_color,two_color,False,https://www.google.com/calendar/event?eid=NWduYzQ5czNqcGRvYzJydWVrdHBxYjVqb2wgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-05-15T21:00:00-07:00,2021-05-16T09:00:00-07:00,X461 Aquila,Deliver to CXI,"9.026 GeV, split-und., 0 delay",7.0 & 7.2-7.3 keV Two-Color,NC-CXI,,two_color,two_color,False,https://www.google.com/calendar/event?eid=MzFocWVtMGcxNW4xcm9mdWd2Z25sYjNxbHQgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-05-16T21:00:00-07:00,2021-05-17T09:00:00-07:00,X461 Aquila,Deliver to CXI,9.026 GeV,7.0 & 7.2-7.3 keV Two-Color,NC-CXI,,two_color,two_color,False,https://www.google.com/calendar/event?eid=MGRrdHAzMm83aHVqYjJmZzVsdjBwbjA0NGcgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-05-27T19:30:00-07:00,2021-05-27T21:00:00-07:00,CXI Checkout,Deliver to CXI,9.026 GeV,"9.5 keV to start, then 7.0-7.2  keV Two-Color",NC-CXI,,two_color,two_color,False,https://www.google.com/calendar/event?eid=M3I4bzI3dTIxdjU1Z2hlMmNycHZhM2w1NDYgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2021-05-27T21:00:00-07:00,2021-05-28T09:00:00-07:00,LV27 Liekhus-Schmalt,Deliver to CXI,9.026 GeV,"7.2 + 7.065 keV Two-color, 20 fs delay",NC-CXI,,two_color,two_color,False,https://www.google.com/calendar/event?eid=MjZ1aGQ5a3RqYmVjYzhoZjRocG9rcDNmbDIgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
