start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-10T14:00:00-08:00,2018-01-11T00:00:00-08:00,XLEAP setup for X282,XLEAP setup for X282,,,NC-MD-FEEH,,xleap,xleap;setup_tune,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMTBUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-17T09:00:00-08:00,2018-01-17T22:00:00-08:00,XLEAP,XLEAP,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=N3NiaDdtYWNuaWkwanVoZjdlaTg3YW90NHEgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-29T23:00:00-08:00,2018-01-30T07:00:00-08:00,XLEAP,XLEAP,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NTJvbWtiYXIyM2R0NnFsZnV1YWZmMmtra2tfMjAxODAxMzBUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-02-07T02:00:00-08:00,2018-02-07T07:00:00-08:00,LS05 Setup: 570 eV for XLEAP.,LS05 Setup: 570 eV for XLEAP.,,,NC-MD-FEEH,,xleap,xleap;setup_tune,False,https://www.google.com/calendar/event?eid=MDBwbmNzcDJsYzJ2dDJ0bGlqdmIxdW1oY21fMjAxODAyMDdUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-08-22T20:00:00-07:00,2018-08-22T21:00:00-07:00,Characterize XLEAP chicane,Characterize XLEAP chicane,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=N3Y1N2U4ZTVxYWljdWZhOGNldWp1ZWxza3MgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-25T15:00:00-07:00,2018-08-25T19:00:00-07:00,XLEAP chicane checkout,XLEAP chicane checkout,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=MXV0aTRqNHBtYTFqMDNnNW52dWxmODN2ZGwgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-25T19:00:00-07:00,2018-08-26T01:00:00-07:00,XLEAP,XLEAP,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NmxiOHM3OGFwbjFvMzZvcmNkc3I2cnE2MDMgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-08-28T11:00:00-07:00,2018-08-28T18:00:00-07:00,XLEAP,XLEAP,,,NC-MD-FEEH,,xleap,xleap,False,https://www.google.com/calendar/event?eid=MHF0bjBvOTEzYnJ0cXExaGVzb21lbGY1cDUgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2025-04-17T11:00:00-07:00,2025-04-17T23:00:00-07:00,HXR XLEAP,HXR XLEAP,+XRT Spectrometer,9.8 keV,NC-XRT,MD-CUH,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=MnVwdWxtNDNtM3Bkc2E1ZmRzYmUyNWMwaG4gajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
2025-05-15T13:00:00-07:00,2025-05-15T22:00:00-07:00,HXR XLEAP,HXR XLEAP,"12.946 GeV, +XRT Spectrometer",14.4 keV,NC-XRT,MD-CUH,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=MzViY25ydDV2dW9waDNuZTN0Z3RvMzZhOTQgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
2025-05-28T23:00:00-07:00,2025-05-29T06:00:00-07:00,XLEAP Setup,XLEAP Setup,+XRT Spectrometer,,NC-XRT,MD-CUH,xleap,xleap;machine_dev;setup_tune,False,https://www.google.com/calendar/event?eid=MWxkcmp2dGQxZWhrMGVjMzZnYjhnbTJ2bmMgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
2026-02-25T07:00:00-08:00,2026-02-25T12:00:00-08:00,XLEAP Setup,XLEAP Setup,10.515 GeV (+XRT Spectrometer),9.5 keV,NC-XRT,,xleap,xleap;setup_tune,False,https://www.google.com/calendar/event?eid=NjM3YWhyNzhwY2xuNXE1Y3ExdnZjaGtnZTEgajk4ZTk3YzZnN2xnbm8zYWhybTM2MWcxZGNAZw
