start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-03-17T21:00:00-07:00,2018-03-18T09:00:00-07:00,LR29 Stamm,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NWJzZTI4ajdkODAxZDQyNnNjYzZ0OTVsc2NfMjAxODAzMThUMDQwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-04-11T23:00:00-07:00,2018-04-12T13:00:00-07:00,X269 Hunter,Deliver to TMO,,1700 eV,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MTU5b2EyY3QydjRmbjU5cnFjcDRxMmtvZW1fMjAxODA0MTJUMDQwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-04-19T09:00:00-07:00,2018-04-19T11:00:00-07:00,Instrument checkout for LR09,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=MmllOGo3cm9xY28xOHBlcDQ0cjR2MTAybTggYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-05-10T05:00:00-07:00,2018-05-10T07:00:00-07:00,Inst. Checkout for LR93,Deliver to TMO,,670 eV,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MDhobzNpOWxtc28zOW1va251bm4zZjg4cnUgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-08-29T16:30:00-07:00,2018-08-29T19:30:00-07:00,"Spectral time tool alignment and checkout, 530 eV",Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NHU3aDBzdWY0MnAwdnYxbnNvaGxwcGFxZ24gYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-09-02T21:00:00-07:00,2018-09-03T01:00:00-07:00,Focal tests and imprints for Std. Config RIXS,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=N2lwMHVrcTFva3VycWg4dmI3cGdqdHVwODAgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-09-14T21:00:00-07:00,2018-09-14T23:00:00-07:00,Checkout for SPI,Deliver to TMO,,1.7 keV,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MDBuYnFxa3BzYWc4Z2N0ZHZlNGFuZG1oMWggdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-09-16T21:00:00-07:00,2018-09-17T09:00:00-07:00,X341 SPI,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=M3VpMmk1cGJzNm9hb3Q0czU4a29mcms3M3ZfMjAxODA5MTdUMDQwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-11-02T06:00:00-07:00,2018-11-02T06:30:00-07:00,BCS Checks,BCS Checks,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=N2Z0bjB1aThybmQ1N2Jxams1NnV0cm03bnUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-17T22:30:00-07:00,2020-08-18T02:00:00-07:00,First shots through UNDS,First shots through UNDS,Dedicated delivery,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=M3JnYnEwMTU0N3NjOGc2dDRlZzRiZ3QxdGMgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-13T20:00:00-07:00,2020-10-14T05:00:00-07:00,TMO Comm,Deliver to TMO,Beam rate negotiated w/ MEC,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=Mmc3cWZoam45YmUzOWJxNXZxcDVlY2Q0YWMgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2020-10-14T15:00:00-07:00,2020-10-14T18:00:00-07:00,CLTS Dispersion,CLTS Dispersion,10 Hz Max,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NWttdjJxZm90MWtjaHFtcHV0Y2diZWlwcnQgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-11-04T09:00:00-08:00,2020-11-04T14:00:00-08:00,"TMO Comm., short pulse, 900+ eV",Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NWo5Z2w2Z3I3Yzk3dDRkdWgyZWxucGZ0ZHIgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
