start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-02-06T11:30:00-08:00,2018-02-06T13:00:00-08:00,"BCS Checks, 711 eV LTU wires study","BCS Checks, 711 eV LTU wires study",,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NjZrdGsybGt2Z3E3dHMzc2pkaG9idjVmYnAgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-02-10T09:00:00-08:00,2018-02-10T21:00:00-08:00,"LR49 Parchenko, 711 eV, 3 pulse setup as used for LO63 first shift",Deliver to TXI,,,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MHRqYWNyaHBiN2Qyc2tpcTAwYmRwdDFwMW1fMjAxODAyMTBUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-02-27T14:00:00-08:00,2018-02-28T01:30:00-08:00,Setup SXRSS 530 eV in preparation for LR15,Deliver to TXI,,,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=M3VvaHZsM2UyZnY2ZXAycmIydTVsaWVtbWsgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-03-21T16:00:00-07:00,2018-03-21T20:00:00-07:00,"FIM measurements in SXR, 800 eV, SASE ~2 mJ",Deliver to TXI,,,NC-TXI,,setup_tune,setup_tune;sase_explicit,False,https://www.google.com/calendar/event?eid=MHB0Y3U5dGF2ZXZqbTJqOHFrMmdrZXU0MXZfMjAxODAyMjFUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-04-23T15:00:00-07:00,2018-04-23T21:00:00-07:00,Talbot WFS alignment & commissioning,Deliver to TMO,,,NC-TMO,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=M2tmbzVydmxvN2QydDI3M2IwcDM2a2p0N2YgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-04-25T19:00:00-07:00,2018-04-26T07:00:00-07:00,X301 scan,Deliver to TXI,,635-650 eV,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=Mjh2bXRlZTBicGUybXR0ZDMzOWFocDU4bzZfMjAxODA0MjZUMDQwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-05-17T11:00:00-07:00,2018-05-17T21:00:00-07:00,LR01 Young,Deliver to TXI,,scan energy 500-550 eV,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NHYxdjNkZXJxdXE4a242bzUyYW1xNzJscnJfMjAxODA1MTdUMTYwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-11-02T00:00:00-07:00,2018-11-02T06:00:00-07:00,"Fresh-bunch multi-stage scheme for high power.  1 keV, 3 kA",Deliver to TXI,,,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MGQ3NjVlbjVjZWo0czVwbDI3M2w0MDFhdTcgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-11-14T19:30:00-08:00,2018-11-14T22:30:00-08:00,User spectrometer checkout/commissioning,Deliver to TXI,,,NC-TXI,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MGdha3IzZmhuMzZiaWkzc21rYXRyOWcwNjIgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-12-05T17:00:00-08:00,2018-12-05T22:00:00-08:00,"In-vacuum power meter test, AMO transmission check, 350, 550, 750, 1000, 1200 and 1500 eV starting at 350 eV.",Deliver to TMO,,,NC-TMO,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NWhsbTl2bTNpOWFoMGxyczNnbzMxanM4ajcgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2020-01-10T16:00:00-08:00,2020-01-10T21:00:00-08:00,Cu linac to STCLTS commissioning,Cu linac to STCLTS commissioning,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MHBwcGx1MTUzYzA1Mjh1ZjFiYnFtcG1pdDIgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-01-10T16:00:00-08:00,2020-01-11T02:00:00-08:00,Cu linac to STCLTS in DC mode,Cu linac to STCLTS in DC mode,,"150 pC, 5 GeV",NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=M24xOWIyc2R1ZW00dHZsMjduZ3NqMXVlNmUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-05T21:00:00-07:00,2020-08-06T04:00:00-07:00,"7.6 GeV, First 1 Hz past STCLTS, BPM checkout","7.6 GeV, First 1 Hz past STCLTS, BPM checkout",,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NDdhbW5vZm8wZ2gwMmdyZzFyNmxtamdocWEgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-09T21:00:00-07:00,2020-08-10T05:00:00-07:00,"Soft line commissioning & match, 50 pC, 10 GeV","Soft line commissioning & match, 50 pC, 10 GeV",,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NjN2dG9nY2Q0ZG1mYmpxN3Y5dHNucnUyaWMgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-10T18:00:00-07:00,2020-08-10T22:00:00-07:00,Time TBD: CLTS Bend Study,Time TBD: CLTS Bend Study,10 Hz only,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NnY3Nm5hZHM0NTRvb29uZDNobWJsamp1dmUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-18T12:00:00-07:00,2020-08-18T21:00:00-07:00,SXR Line Prep,SXR Line Prep,1-10 Hz,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NnU4M2JlYWtmODNiYTMwZWMwOWtoam5vNGIgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-21T12:00:00-07:00,2020-08-21T16:00:00-07:00,"Orbit, MPS Tests, BLMs","Orbit, MPS Tests, BLMs",10 Hz max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MWFzNHBlN21yNnI0dTRhY3V0ajVjZm4yaWUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-08-22T16:00:00-07:00,2020-08-22T20:45:00-07:00,UNDS Commissioning,UNDS Commissioning,10 Hz only,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MW5zbDVqMnJyNWxuYWhvaXJzZ2J1dWxlNmsgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-03T11:00:00-07:00,2020-09-03T14:00:00-07:00,Setup CLTS same energy,Setup CLTS same energy,10 Hz only,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MjgwamhlODI3Y2oxaDBwM25kM2hmMTN1bW8gZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-03T21:00:00-07:00,2020-09-03T23:00:00-07:00,BCS Brem Monitor Calib,BCS Brem Monitor Calib,9.48 GeV full rate,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MnRzdHM5cXU5aDIzZnNlN2g5dTNrMTZiOHUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-04T11:30:00-07:00,2020-09-04T20:30:00-07:00,SXR Undulator Gap Steering Corrections Tables,SXR Undulator Gap Steering Corrections Tables,10 Hz only,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MWI2MzI4YjUwcmMwZnBtN3JyNGxkZ2UzMzUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-05T10:00:00-07:00,2020-09-05T18:00:00-07:00,SXR Phase Shifter Gap steering correction tables,SXR Phase Shifter Gap steering correction tables,10 Hz only,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=Nmw1N2RrdnZ0MjVta2V2OXRoOW0zaW5ucG4gZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-11T10:30:00-07:00,2020-09-11T19:30:00-07:00,X-ray Diagnostics using Spontaneous,X-ray Diagnostics using Spontaneous,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NGFuYmV1amRnaW1lcDFzZ2pydjk5cGhmODYgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-11T20:00:00-07:00,2020-09-12T01:00:00-07:00,X-ray Diagnostics using Spontaneous,X-ray Diagnostics using Spontaneous,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NTVmY2lxZzU5Y2c5MnQ1YmxvM2wxanAwN2ggZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-14T12:00:00-07:00,2020-09-14T16:00:00-07:00,IM1K0-XTES and IM2K0-XTES Ready for undulator commissioning,IM1K0-XTES and IM2K0-XTES Ready for undulator commissioning,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MXRtbDU2MGtnMzd0cWI2MjVlMnA2MWdzbnEgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-16T08:00:00-07:00,2020-09-16T10:00:00-07:00,Setup First SXU BBA Energy 3.5 GeV,Setup First SXU BBA Energy 3.5 GeV,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NWNhMGVyYm83ODZrZDlhZnRjNmY3Mm9lY2ggZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-17T08:00:00-07:00,2020-09-17T16:00:00-07:00,X-ray Photon Commissioning,X-ray Photon Commissioning,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=Mmozbm9xMThxMjdxY2d2bnJlcjU0ZDJ0cWwgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-20T21:30:00-07:00,2020-09-21T01:00:00-07:00,SXR Photon Energy Scan,SXR Photon Energy Scan,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=N3Y0bDgxb2lsZjB0NG1ndDRvaDRhN2gwbTkgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-21T21:30:00-07:00,2020-09-22T01:00:00-07:00,"SXR Photon Energy Scan, 9.487 GeV","SXR Photon Energy Scan, 9.487 GeV",,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NmQ5Zm42dWYwN2hub2xwOTQyaWduYmNycmogZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-25T17:00:00-07:00,2020-09-25T20:00:00-07:00,SXR Optics Study,SXR Optics Study,10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=N3NkbW4wOWR2MjBzMHE0NnJzdHE1cmJtM2MgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-09-28T21:30:00-07:00,2020-09-29T02:00:00-07:00,BLM Calibration Study,BLM Calibration Study,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NXVnN3ZjaWVya21xaGYzMm9pbm84MmpqbmcgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-03T08:00:00-07:00,2020-10-03T09:00:00-07:00,Setup SXU,Setup SXU,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MTI1bzd1cWxsNGtqbGJ0YWhtOWptMG1vaHYgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-03T19:30:00-07:00,2020-10-03T22:00:00-07:00,Global Optics Measurement,Global Optics Measurement,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MnZlZ2tzcDMzdGpzcTFrZjVlNXJuNjBuZnAgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-04T06:30:00-07:00,2020-10-04T07:30:00-07:00,Setup SXU,Setup SXU,,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=N210cnJkcWIydmNrYXZ2ZGVxOGM1OGwzOWMgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-13T08:00:00-07:00,2020-10-13T14:00:00-07:00,GMD/XGMD and Attenuator Commissioning,GMD/XGMD and Attenuator Commissioning,10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=N21sZTA4dTFlcW1jMnZnMnBtZTNiMzduYWcgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-13T14:00:00-07:00,2020-10-13T17:00:00-07:00,CLTS Global Optics Study,CLTS Global Optics Study,10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=Nm4zcmgyYmdxanBlOGdxZXJwZ2dqZHFicXEgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-14T09:00:00-07:00,2020-10-14T15:00:00-07:00,GMD/XGMD and Attenuator Commissioning,GMD/XGMD and Attenuator Commissioning,10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=MnZub25qcnBhYm1yNDNubW8wM3RsMWVzb2kgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-15T10:00:00-07:00,2020-10-15T11:00:00-07:00,"Setup SXU, 800 eV, 7.15 GeV","Setup SXU, 800 eV, 7.15 GeV",10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NnQwOTI2NTlxNmVlczFjOHBrY3RlamQxcTIgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-16T10:00:00-07:00,2020-10-16T11:00:00-07:00,"Setup SXU, 800 eV, 7.15 GeV","Setup SXU, 800 eV, 7.15 GeV",10 Hz Max,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=NzlrMWZuaGk0Y3ZuM2FyOThxYjRkNGE5dTUgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2020-10-17T10:00:00-07:00,2020-10-17T11:00:00-07:00,"Setup SXU, 800 eV, 7.15 GeV","Setup SXU, 800 eV, 7.15 GeV",,,NC-MD-FEES,,setup_tune,setup_tune,False,https://www.google.com/calendar/event?eid=N2ZvOWRhYnU5M3VuMzJ1c2Y0MHM5NzJnMG8gZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
