start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2017-12-31T21:00:00-08:00,2018-01-01T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDFUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-01T09:00:00-08:00,2018-01-01T21:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDFUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-01T21:00:00-08:00,2018-01-02T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDJUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-02T09:00:00-08:00,2018-01-02T21:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=NWFvZ3R1NDA1bGVocnQzOHRwODUzNnFodG5fMjAxODAxMDJUMTcwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-02T21:00:00-08:00,2018-01-03T07:30:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDNUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-03T19:00:00-08:00,2018-01-04T07:30:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDRUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-04T19:00:00-08:00,2018-01-05T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDVUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-05T21:00:00-08:00,2018-01-06T08:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDZUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-06T17:30:00-08:00,2018-01-07T09:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MTYzOGpncHBlamw1b2NjcmEycGVhMTFmNWhfMjAxODAxMDdUMDUwMDAwWiBuZHEyc2U5Z3R0NnBhcWtpNjVzY3A5azhla0Bn
2018-01-07T21:00:00-08:00,2018-01-08T00:00:00-08:00,Winter shutdown,Winter shutdown,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MGIyYWtkNHQxbm1xcmYzczh0cGtxcms3M3QgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-01-31T06:30:00-08:00,2018-01-31T18:00:00-08:00,PAMM,Beam off for PAMM,,,NC-PAMM,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MHVtYXI5amYxMzFrbm9iazkyMThnNHE1dDggbzc2cGhwOXJwcGVqYXB1Z3NrMGc5ZmZmZXNAZw
2018-02-06T06:30:00-08:00,2018-02-06T10:30:00-08:00,"Beamline checkout from shutdown, 8 keV, POC: Galtier",Deliver to MEC,,,NC-MEC,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=NWNramQxZ2doZzA0ZWU3dHNlZGIyaGU3MzcgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2018-02-14T06:30:00-08:00,2018-02-14T16:00:00-08:00,PAMM,Beam off for PAMM,,,NC-PAMM,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MnUxY2FvZTRmMXIya2lucjNmaGEzb2ppbnEgbzc2cGhwOXJwcGVqYXB1Z3NrMGc5ZmZmZXNAZw
2018-03-07T06:30:00-08:00,2018-03-07T16:00:00-08:00,PAMM,Beam off for PAMM,,,NC-PAMM,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MWdqZzloMmYxbXBhMThqbWh2cm9haGZsODAgbzc2cGhwOXJwcGVqYXB1Z3NrMGc5ZmZmZXNAZw
2018-03-21T06:30:00-07:00,2018-03-21T14:00:00-07:00,PAMM,Beam off for PAMM,,LS64 may request ~11 keV,NC-PAMM,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=M2M5YXFzOTg5MWd0dGZ0NHY4NnYzYzdwZGkgbzc2cGhwOXJwcGVqYXB1Z3NrMGc5ZmZmZXNAZw
2018-03-27T11:00:00-07:00,2018-03-27T11:30:00-07:00,LTU Access,LTU Access,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MGQ1YTl1dGs0aXFyZnJrdWdmdDE2MHJ0cDIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-04-17T15:00:00-07:00,2018-04-17T17:00:00-07:00,WS12 Access,WS12 Access,,,NC-MD-FEEH,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=N3YwYmlzanZzdGtqMXRocDkyaTlhaTNjaXYgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-04-24T06:30:00-07:00,2018-04-24T16:00:00-07:00,PAMM,Beam off for PAMM,,,NC-PAMM,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=N3U2ZW5maTA2NWdoZDc5YnZvNjNyYXRkN28gbzc2cGhwOXJwcGVqYXB1Z3NrMGc5ZmZmZXNAZw
