start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-10T01:30:00-08:00,2018-01-10T08:00:00-08:00,"Tune up 500, 800 and 1200 eV for X282","Tune up 500, 800 and 1200 eV for X282",,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=NzQzdjU0dWFpdm9ua25nNzVyMWxjbzZubTIgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-02-01T17:00:00-08:00,2018-02-01T22:00:00-08:00,Beta Matching GUI,Beta Matching GUI,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=N2EzdmhlNTVqcGEyOGY0ZnR2Nzk3cDRwNG8gbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-02-02T07:00:00-08:00,2018-02-02T09:00:00-08:00,Instrument checkout for LR23 and LR66,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=MnB0NDU3cTI0Zm1iZW9qaDk3ZHN2bXI0YnQgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2018-02-03T09:00:00-08:00,2018-02-03T21:00:00-08:00,LR23 van Thor,Deliver to CXI,,,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=MGxqMzY1anYwdDIxbm9iNHVia2VkcmFpMXVfMjAxODAyMDNUMTcwMDAwWiBsdDhhc2tmajdraXZuc2ZraTFkZ2M2M2lmc0Bn
2018-02-04T21:00:00-08:00,2018-02-05T11:00:00-08:00,LS21 Thompson,Deliver to MFX,,,NC-MFX,,sase,,False,https://www.google.com/calendar/event?eid=N21wc2g5c3Y2MzU0a2RkamNldDQydHI3MjlfMjAxODAyMDVUMDUwMDAwWiBsdW4yOGZqYWtsdXZpdnQ1cTRmajZxdTJlZ0Bn
2018-03-21T14:00:00-07:00,2018-03-21T16:00:00-07:00,Measure L2 RF kicks,Measure L2 RF kicks,,,NC-MD-FEEH,,sase,,False,https://www.google.com/calendar/event?eid=MTRhaXRrbnFhNTgxazRxbDcwMDM4bHM3MmggbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-03-25T23:00:00-07:00,2018-03-26T09:00:00-07:00,LS61 Cao,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NmVtcWEwY2htdjQ3NDV2dWVoanJkaXFhcXZfMjAxODAzMjZUMDQwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-03-26T21:00:00-07:00,2018-03-27T11:00:00-07:00,LS61 Cao,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NmVtcWEwY2htdjQ3NDV2dWVoanJkaXFhcXZfMjAxODAzMjdUMDQwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-03-29T21:00:00-07:00,2018-03-30T09:00:00-07:00,LS61 Cao,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NGRmcmVtYXZpdGNkNjZjaDd2a2pyMnE5ZzBfMjAxODAzMzBUMDQwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-04-04T00:00:00-07:00,2018-04-04T02:00:00-07:00,Instrument checkout LR17,Deliver to MFX,,7.2 keV,NC-MFX,,sase,,False,https://www.google.com/calendar/event?eid=NWZ1dXVrcHNqMDNndDJxajgxdG11aWd1ZWogbHVuMjhmamFrbHV2aXZ0NXE0Zmo2cXUyZWdAZw
2018-04-14T21:00:00-07:00,2018-04-14T23:00:00-07:00,Instrument checkout for LS60 8.0 keV,Deliver to MEC,,,NC-MEC,,sase,,False,https://www.google.com/calendar/event?eid=N2ZhYWYzM3FybjhnM3FzdG5wN3J2NmI2azggbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
2018-05-06T09:00:00-07:00,2018-05-06T21:00:00-07:00,LS11 Trigo,Deliver to XPP,,,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=NGo3cWhyOG9ycjl1M3R0YnJhNTNpaHFiazJfMjAxODA1MDZUMTYwMDAwWiA2c3I0MTRuZWhidWduMms2N2VmcTcxbXBwZ0Bn
2018-05-19T09:00:00-07:00,2018-05-19T11:00:00-07:00,Inst. checkout for LR74,Deliver to CXI,,6.9 keV,NC-CXI,,sase,,False,https://www.google.com/calendar/event?eid=NGphZXNhZzZvOTVmZzNhazhnMHE0Y2ZodHUgbHQ4YXNrZmo3a2l2bnNma2kxZGdjNjNpZnNAZw
2018-05-24T05:00:00-07:00,2018-05-24T07:00:00-07:00,Inst. Checkout for SU & LR32,Deliver to XPP,,9.5 keV,NC-XPP,,sase,,False,https://www.google.com/calendar/event?eid=XzZncmpjY2hpNjRwNGNiOWw3NHBqOGI5azY0b2ppYjlvODhzazZiOW82OTFqY2Q5bDhvcGowZ3BpNnMgNnNyNDE0bmVoYnVnbjJrNjdlZnE3MW1wcGdAZw
2018-08-26T02:30:00-07:00,2018-08-26T04:00:00-07:00,Tune 9.65 keV SASE,Tune 9.65 keV SASE,,,NC-MD-FEEH,,sase,sase_explicit,False,https://www.google.com/calendar/event?eid=NTRoNjU1bWxua25pMGw0bzNtdXZibnI2OWsgbmRxMnNlOWd0dDZwYXFraTY1c2NwOWs4ZWtAZw
2018-09-03T21:00:00-07:00,2018-09-04T01:00:00-07:00,MEC downtime checkout,Deliver to MEC,,9.5 keV,NC-MEC,,sase,,False,https://www.google.com/calendar/event?eid=NTJpcDlzN3Zjb3JuMGhoMms0YWVjODJpdjcgbmthNXI4ZmZtcmlrNWpjZGloOG51NzNyMWtAZw
