start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2017-12-25T10:00:00-08:00,2018-01-06T18:00:00-08:00,Veronica,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NnFmZW45bGpsY3V2OTl0bzBtZjhlOGd0djIgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-03T07:30:00-08:00,2018-01-03T19:00:00-08:00,Sectors 21-30 power OFF,Sectors 21-30 power OFF,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=MXNxYThvcW9waHZwazA0NGhyczlwZG5jNTBfMjAxODAxMDNUMTUzMDAwWiBlYWxwa3JraW1oNGc0bWdwNHZjNjM3Z2ZxZ0Bn
2018-01-04T07:30:00-08:00,2018-01-04T19:00:00-08:00,Sectors 21-30 power OFF,Sectors 21-30 power OFF,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=MXNxYThvcW9waHZwazA0NGhyczlwZG5jNTBfMjAxODAxMDRUMTUzMDAwWiBlYWxwa3JraW1oNGc0bWdwNHZjNjM3Z2ZxZ0Bn
2018-01-08T00:00:00-08:00,2018-01-08T01:30:00-08:00,BCS Checks,BCS Checks,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=MHZiNWljZzFzZzNqZXBob3BrOXByaG82OTkgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-01-10T08:00:00-08:00,2018-01-10T14:00:00-08:00,Instrument checkout and spectrometer alignment for X282,Deliver to TMO,,"80 pC, 500 eV",NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NnQyM2NwbHJkdDU3cG1vZ2JlcDQ0N3VobWIgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-11T00:00:00-08:00,2018-01-11T04:00:00-08:00,SXR Instrument checkout from down,Deliver to TXI,,one bunch at 640 eV,NC-TXI,,not_delivering,not_delivering,False,https://www.google.com/calendar/event?eid=MzZvMGY0cDRqbzI4ODIxbG8yOTg1cGJqaDggYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-01-11T19:00:00-08:00,2018-01-11T21:00:00-08:00,Instrument checkout for X282,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NDg3dm1vdm5jcXNkbGdnbjJrdmIxYjZpc2cgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-11T21:00:00-08:00,2018-01-12T09:00:00-08:00,X282 Coffee,Deliver to TMO,,500 eV,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MmwyOWxmZnAxMTZhcDVkMmwzMG9hZHFqaWtfMjAxODAxMTJUMDUwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-12T21:00:00-08:00,2018-01-13T09:00:00-08:00,X282 Coffee,Deliver to TMO,,"500, 800, 1200, 1600 eV",NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MmwyOWxmZnAxMTZhcDVkMmwzMG9hZHFqaWtfMjAxODAxMTNUMDUwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-13T21:00:00-08:00,2018-01-14T09:00:00-08:00,X282 Coffee,Deliver to TMO,, short ~10 fs,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MmwyOWxmZnAxMTZhcDVkMmwzMG9hZHFqaWtfMjAxODAxMTRUMDUwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-14T21:00:00-08:00,2018-01-15T09:00:00-08:00,X304 Turner,Deliver to TXI,,640 eV,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NjhzY3Q3czI0cGwzbzAyODQ3ZW1panZjNGtfMjAxODAxMTVUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-15T21:00:00-08:00,2018-01-16T09:00:00-08:00,X304 Turner,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NjhzY3Q3czI0cGwzbzAyODQ3ZW1panZjNGtfMjAxODAxMTZUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-16T15:00:00-08:00,2018-01-16T21:00:00-08:00,"COLTRIMS checkout after bake, 550eV, 100 fs, 100 uJ, 125 pC cut to 80 pC",Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NjhtcTA4dmlmbG10NWNkNzhuOHJ0MmRoNWkgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-17T14:45:00-08:00,2018-01-17T16:15:00-08:00,"FEE Network Outage, e- to TDUND","FEE Network Outage, e- to TDUND",,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NXA1NzF0MWhqaWhmbmZyb2c3MTBhanI0dXIgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-01-18T02:30:00-08:00,2018-01-18T04:00:00-08:00,BCS checks,BCS checks,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NnYydDdsbXFnYnF2Zm9vb2EwazdtaGtrZHAgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-01-18T04:00:00-08:00,2018-01-18T06:00:00-08:00,"Instrument checkout for X277, 550 eV, 125pC cut to 80-40pC, 100fs",Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=N2J1YW51MGZhOHJuMzZyM3JicmliMHVldmYgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-18T06:00:00-08:00,2018-01-18T18:00:00-08:00,X277 Walter,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MWg1cXJoM2FyYXN2ODdlMWcwMm1tdjkzcjIgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-01-18T18:00:00-08:00,2018-01-18T20:00:00-08:00,"Instrument checkout for X304, 640eV",Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NWtrNTRkanZxNTdxa291djFqc3RrZjR2dDIgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-01-18T20:00:00-08:00,2018-01-19T08:00:00-08:00,X304,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NnA5dnRsbzlyZHBhNW1ldWtzMW91aXFyMG5fMjAxODAxMTlUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-19T21:00:00-08:00,2018-01-20T09:00:00-08:00,X304,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NnA5dnRsbzlyZHBhNW1ldWtzMW91aXFyMG5fMjAxODAxMjBUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-20T09:00:00-08:00,2018-01-20T21:00:00-08:00,"X277 Walter, 465eV, ~80pC, 100 fs, 400 uJ",Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NTdjNDE3M25tcW10Y2UwZ2hhYWlrNHJibXFfMjAxODAxMjBUMTcwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-21T09:00:00-08:00,2018-01-21T21:00:00-08:00,X277 Walter,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NTdjNDE3M25tcW10Y2UwZ2hhYWlrNHJibXFfMjAxODAxMjFUMTcwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-22T09:00:00-08:00,2018-01-22T21:00:00-08:00,"X277 Walter, 320 eV, slotted foil, 2 pulses separated by 100 fs",Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NTdjNDE3M25tcW10Y2UwZ2hhYWlrNHJibXFfMjAxODAxMjJUMTcwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-01-23T11:00:00-08:00,2018-01-23T14:00:00-08:00,POMM,POMM,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NzVscTA0b3ZmdmY3ZWNscDhrNzEybW03YjYgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-01-24T09:00:00-08:00,2018-01-24T11:30:00-08:00,"Andor CCD alignment for LS65, 930 eV",Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NGlhdnFyOGNoZnFrOG5kY3JvbWhkaGNlZTEgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-01-25T04:00:00-08:00,2018-01-25T05:30:00-08:00,BCS checks,BCS checks,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=N28ydXF2NHVuMWFwYzNrb2FhanN1bTJ2cmkgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-01-25T09:00:00-08:00,2018-01-25T11:00:00-08:00,Instrument checkout for LS65,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NXFqZnNsbm5tYWVnbzE4cm81OXJ2Mmc1Mm0gYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-01-25T11:00:00-08:00,2018-01-25T21:00:00-08:00,"LS65 Turner, Two bunch Fresh Slice, 930 eV",Deliver to TXI,,,NC-TXI,,two_bunch,two_bunch;fresh_slice,True,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjVUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-26T09:00:00-08:00,2018-01-26T21:00:00-08:00,LS65 Turner,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjZUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-27T09:00:00-08:00,2018-01-27T21:00:00-08:00,LS65 Turner,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjdUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-28T09:00:00-08:00,2018-01-28T23:00:00-08:00,LS65 Turner,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjhUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-01-29T11:00:00-08:00,2018-01-29T23:00:00-08:00,LS65 Turner,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjlUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
