start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-18T02:30:00-08:00,2018-01-18T04:00:00-08:00,BCS checks,BCS checks,,,NC-MD-FEES,,sase,,False,https://www.google.com/calendar/event?eid=NnYydDdsbXFnYnF2Zm9vb2EwazdtaGtrZHAgZWFscGtya2ltaDRnNG1ncDR2YzYzN2dmcWdAZw
2018-03-01T23:00:00-08:00,2018-03-02T09:00:00-08:00,LR15 Wall,Deliver to TXI,,516-530 eV,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NDZmaGt0ZHFyMGlmYXNydTU3bDRpNXQxMzNfMjAxODAzMDJUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-03-04T21:00:00-08:00,2018-03-05T09:00:00-08:00,LR15 Wall,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NDZmaGt0ZHFyMGlmYXNydTU3bDRpNXQxMzNfMjAxODAzMDVUMDUwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-03-10T21:00:00-08:00,2018-03-11T09:00:00-07:00,LS33 Cavalieri,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NXRsbmUxMW00czJvNnNxZmExMHVqY25nbGJfMjAxODAzMTFUMDUwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-03-15T21:00:00-07:00,2018-03-15T23:00:00-07:00,Instrument checkout for LR29,Deliver to TXI,,852 eV,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=M2g3aGtmbzM3OW5sNGZrc2xxMHA1MTNzamQgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-04-09T11:00:00-07:00,2018-04-09T21:00:00-07:00,LR07 Schmitt,Deliver to TXI,,530 eV,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=N24yajN2NG1wZjFscWZncDBycTNndG9pb21fMjAxODA0MDlUMTYwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-09-24T09:00:00-07:00,2018-09-24T21:00:00-07:00,LT56 Durr,Deliver to TXI,,,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=MWQ0ajA5Ym4zanNpYXZwc24wZGdiZ3Vla2FfMjAxODA5MjVUMDQwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2018-10-03T07:00:00-07:00,2018-10-03T09:00:00-07:00,Inst. Checkout for LU46,Deliver to TMO,,1.5 keV,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=NzNlOHFwOHZ2ZTNwYjFnazNkbnQzNjY0YWkgdGF1dWJtbjluNmV2a2lyODM1aTR1cWRlM2NAZw
2018-10-04T09:00:00-07:00,2018-10-04T21:00:00-07:00,LU46 Vilesov,Deliver to TMO,,,NC-TMO,,sase,,False,https://www.google.com/calendar/event?eid=MzZjZWpydWRpYmw0OGxwaTVrZTBrMnZjNTRfMjAxODEwMDRUMTYwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-10-14T09:00:00-07:00,2018-10-14T21:00:00-07:00,X353 Hart,Deliver to TXI,,1 keV,NC-TXI,,sase,,False,https://www.google.com/calendar/event?eid=NnZxdjB0cGhpYTNubmhsazFnZG5lb2IxNjNfMjAxODEwMTRUMTYwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
