start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-02-07T09:00:00-08:00,2018-02-07T21:00:00-08:00,"LS05 Cryan, XLEAP w/ Energy scan 525-545 eV",Deliver to TMO,,,NC-TMO,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NWJmc2NsMWd2N28zcnIxcG9tNWVydmE2czRfMjAxODAyMDdUMTcwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-02-28T01:30:00-08:00,2018-02-28T16:00:00-08:00,"XLEAP 850, 1050 eV then 700 eV",Deliver to TXI,,,NC-TXI,,xleap,xleap,False,https://www.google.com/calendar/event?eid=Njl2MW5zNm50dG9sb2Vnc29qMWNoY2VzOHIgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-03-14T20:00:00-07:00,2018-03-15T07:00:00-07:00,XLEAP,Deliver to TMO,,"500, 800, 1000 eV",NC-TMO,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NXQ3NWd1ZW5tcDlkcTNtbGZubDF0OXV1czRfMjAxODAzMTRUMDQwMDAwWiB0YXV1Ym1uOW42ZXZraXI4MzVpNHVxZGUzY0Bn
2018-04-17T17:00:00-07:00,2018-04-18T05:00:00-07:00,"MD: XLEAP 460 eV, 690 eV",Deliver to TXI,,,NC-TXI,,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=MGlsaGg4NTZtNGlmOXRiMDYyNHIxMzlidWsgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-04-23T21:00:00-07:00,2018-04-24T03:30:00-07:00,MD: XLEAP,Deliver to TXI,,,NC-TXI,,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=MDFqdnNrYTgyb25yYXQ2YWhuZXI3Z2oxc2wgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-05-08T20:30:00-07:00,2018-05-09T02:00:00-07:00,"Setup for LR93: scan  600, 750 eV. <5, 5, 20, 50, 100 fs, XLEAP",Deliver to TXI,,,NC-TXI,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NG50YWc2NzNzbnQ2MGVmZG8yZGdlOXZ2NDMgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-05-15T13:00:00-07:00,2018-05-15T23:00:00-07:00,MD: XLEAP,Deliver to TXI,,,NC-TXI,,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=MDdyY2g4NXRhYTk5NDBwaHNudXVkMnBqbjggYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-09-01T21:00:00-07:00,2018-09-02T05:00:00-07:00,XLEAP,Deliver to TXI,,,NC-TXI,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NzgxZHJrM3U5NjI4Z2hocnN2bmVkOHNhOWkgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-10-13T06:00:00-07:00,2018-10-13T16:00:00-07:00,XLEAP @ 700 eV,Deliver to TXI,,,NC-TXI,,xleap,xleap,False,https://www.google.com/calendar/event?eid=NGRwNmRrcDFkaTAwOG9lbXVubW5wNWw5MDIgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
2018-10-24T11:00:00-07:00,2018-10-24T17:00:00-07:00,"LCLS MD: XLEAP, 900 eV, 600 eV, 500 eV, +/- 10 eV energy scanning for X330",Deliver to TXI,,,NC-TXI,,xleap,xleap;machine_dev,False,https://www.google.com/calendar/event?eid=NWZqMWM1OWgzbWduMTN0ZGpsc3JubzQ3cmYgYWc5MHRuNjV0azE2OWtncGt0OGk3Mjg2bnNAZw
